symbol,D,dt_net_buy,dt_net_rate,lianban6d_max,is_limit_D,E1,E1open,gap,Dclose,D_pct,r2,idx_r2,ex2,r5,idx_r5,ex5,r10,idx_r10,ex10,r20,idx_r20,ex20,drop2,drop5,drop10,drop20,drop
000012,2026-05-22,90838523.38,0.12187175,2.0,1,2026-05-25,4.41,0.0023,4.4,0.1,0.020408,0.015319,0.005089,-0.081633,0.003883,-0.085516,-0.006803,-0.011548,0.004745,0.072562,0.038263,0.0343,,,,,
000014,2025-09-23,51727671.79,0.03442511,1.0,1,2025-09-24,20.9,-0.0081,21.07,0.1003,-0.016746,0.02185,-0.038597,-0.058373,0.032351,-0.090725,-0.028708,0.024698,-0.053406,0.0689,0.056186,0.012713,,,,,
000014,2025-10-23,-44091343.8,-0.05551684,1.0,0,2025-10-24,22.0,-0.0205,22.46,-0.0361,-0.007273,0.020168,-0.027441,-0.053182,0.018847,-0.072028,-0.175455,0.015276,-0.19073,-0.268636,-0.012512,-0.256125,,,,,
000016,2026-02-04,136024889.14,0.15818361,0.0,0,2026-02-05,3.74,-0.0235,3.83,-0.0496,-0.016043,-0.004534,-0.011508,0.045455,0.01052,0.034935,0.029412,0.013318,0.016094,-0.093583,0.00489,-0.098473,,,,,
000016,2026-05-06,2535260.77,0.01120124,0.0,0,2026-05-07,2.99,-0.0292,3.08,-0.0494,0.033445,-0.004879,0.038324,0.076923,0.020945,0.055978,0.080268,-0.009212,0.08948,0.117057,0.008785,0.108272,,,,,
000016,2026-06-22,316634.0,0.00150094,0.0,0,2026-06-23,2.57,0.0039,2.56,-0.0448,-0.031128,-0.020801,-0.010327,-0.14786,-0.023991,-0.123869,-0.003891,-0.040814,0.036923,-0.066148,-0.089085,0.022937,,,,,
000016,2026-07-02,-8891642.48,-0.10052304,0.0,0,2026-07-03,2.6,0.0236,2.54,0.0496,-0.015385,0.006757,-0.022142,-0.05,0.013892,-0.063892,0.034615,-0.023093,0.057708,-0.05,-0.054014,0.004014,,,,,
000017,2025-11-20,10137295.77,0.01177896,2.0,0,,,0.1001,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000017,2026-06-30,26378729.32,0.07664501,2.0,1,2026-07-01,6.06,-0.0098,6.12,0.1007,-0.009901,-0.032255,0.022354,-0.00495,-0.036284,0.031334,-0.042904,-0.035432,-0.007473,-0.014851,-0.081076,0.066225,,,,,
000017,2026-08-21,4599091.67,0.01138929,2.0,0,,,0.0999,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000017,2026-08-25,-416771.4,-0.00073556,4.0,1,2026-08-26,8.84,0.0279,8.6,0.0997,0.177602,0.017771,0.15983,0.329186,0.01363,0.315555,0.063348,0.002046,0.061302,,,,,,,无未来行情,
000017,2026-08-26,-53907839.26,-0.05604726,5.0,1,2026-08-27,9.57,0.0116,9.46,0.1,0.196447,0.003199,0.193248,0.227795,-0.010125,0.23792,,,,,,,,,无未来行情,无未来行情,
000017,2026-08-28,-27888672.42,-0.00988763,7.0,1,2026-08-31,11.47,0.0017,11.45,0.0999,0.024412,0.01084,0.013572,-0.170009,-0.003056,-0.166953,,,,,,,,,无未来行情,无未来行情,
000017,2026-09-02,0.0,0.0,7.0,0,,,-0.0996,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000017,2026-09-04,-45587543.84,-0.04483471,7.0,0,2026-09-07,9.0,-0.0546,9.52,-0.1002,0.044444,-0.002003,0.046448,,,,,,,,,,,无未来行情,无未来行情,无未来行情,
000017,2026-09-07,-20311663.16,-0.01083038,7.0,0,2026-09-08,9.09,0.0111,8.99,-0.0557,,,,,,,,,,,,,无未来行情,无未来行情,无未来行情,无未来行情,
000019,2026-09-02,-82091291.0,-0.18091516,1.0,0,2026-09-03,7.16,-0.0028,7.18,-0.0934,-0.00419,-0.005001,0.000811,,,,,,,,,,,无未来行情,无未来行情,无未来行情,
000020,2025-09-26,40835724.28,0.08949092,2.0,1,2025-09-29,15.22,-0.0994,16.9,0.1003,-0.028909,0.018806,-0.047715,-0.051248,0.00855,-0.059798,-0.061761,-0.003691,-0.05807,-0.017083,0.021596,-0.038678,,,,,
000020,2025-09-29,-61483576.22,-0.12204797,2.0,0,2025-09-30,14.7,-0.0485,15.45,-0.0858,0.002041,0.017189,-0.015148,0.013605,-0.019619,0.033225,-0.011565,-0.004758,-0.006807,0.020408,-0.002419,0.022827,,,,,
000020,2026-03-17,43468613.0,0.1786683,2.0,0,,,0.0998,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000020,2026-03-19,34716180.22,0.27831733,4.0,0,,,0.1,,,,,,,,,,,,,,,,,,,E1一字无成交区间
000020,2026-03-23,-11520510.23,-0.01147853,5.0,0,2026-03-24,20.36,-0.0305,21.0,-0.0999,-0.131631,0.017618,-0.149249,-0.204322,0.007411,-0.211733,-0.251965,-0.004102,-0.247863,-0.215619,0.06932,-0.284939,,,,,
000020,2026-03-24,-65232757.28,-0.08293079,5.0,0,2026-03-25,17.78,-0.0617,18.95,-0.0976,-0.025872,-0.006455,-0.019417,-0.104049,-0.012554,-0.091496,-0.122047,0.019733,-0.141781,-0.106862,0.065016,-0.171877,,,,,
000020,2026-03-25,-25716689.61,-0.04278758,5.0,0,2026-03-26,17.07,-0.0345,17.68,-0.067,-0.016403,-0.005029,-0.011374,-0.052138,0.000163,-0.052301,-0.087288,0.009037,-0.096325,-0.09256,0.057675,-0.150235,,,,,
000020,2026-05-08,1879058.0,0.01643079,0.0,0,2026-05-11,14.05,-0.0257,14.42,-0.0999,0.003559,0.009336,-0.005778,-0.033452,-0.008707,-0.024745,-0.059786,-0.011664,-0.048122,-0.113167,-0.017412,-0.095755,,,,,
000020,2026-08-19,-4353707.0,-0.01274247,2.0,1,2026-08-20,12.5,-0.0902,13.74,0.1001,-0.0608,0.001214,-0.062014,0.0168,-0.004879,0.021679,0.0104,-0.014163,0.024563,,,,,,,无未来行情,
000021,2025-09-24,191973754.03,0.05873061,1.0,1,2025-09-25,25.0,0.0,25.0,0.0999,-0.0216,-0.003053,-0.018547,0.2264,0.03188,0.19452,0.2176,0.011928,0.205672,0.1664,0.031974,0.134426,,,,,
000021,2025-09-30,190430080.46,0.09643282,1.0,1,2025-10-09,30.66,0.1001,27.87,0.0998,0.034573,-0.009712,0.044285,-0.037834,-0.011974,-0.02586,-0.092303,-0.014917,-0.077386,-0.138943,-0.007476,-0.131467,,,,,
000021,2025-10-09,801724258.5,0.07240442,2.0,1,2025-10-10,29.89,-0.0251,30.66,0.1001,0.050184,-0.018275,0.068459,0.018401,-0.013052,0.031453,-0.06457,-0.015633,-0.048937,-0.098695,0.002971,-0.101667,,,,,
000021,2025-10-10,-96681002.99,-0.00821421,2.0,0,2025-10-13,30.05,-0.0526,31.72,0.0346,-0.039933,0.010732,-0.050666,-0.088186,0.005204,-0.09339,-0.013644,0.037814,-0.051458,-0.115474,0.041847,-0.157321,,,,,
000021,2025-10-17,-57072265.09,-0.01004459,2.0,0,2025-10-20,27.98,0.0212,27.4,-0.0999,0.012509,0.010888,0.001621,0.059328,0.022474,0.036854,-0.024303,0.018083,-0.042386,-0.115797,0.015334,-0.131131,,,,,
000021,2026-02-02,-251057364.75,-0.05917936,0.0,0,2026-02-03,29.83,0.0202,29.24,-0.1,-0.049614,0.010827,-0.060441,-0.033188,0.015209,-0.048398,0.132082,0.012733,0.119349,0.08649,0.005679,0.080811,,,,,
000021,2026-02-13,183368633.39,0.02386614,1.0,1,2026-02-24,32.5,0.0065,32.29,0.1002,0.024,0.001817,0.022183,0.029231,0.00029,0.02894,-0.041846,-0.023659,-0.018188,-0.124308,-0.065428,-0.058879,,,,,
000021,2026-05-18,456132572.64,0.13198721,1.0,1,2026-05-19,37.03,0.0,37.03,0.1001,0.022144,0.00664,0.015504,0.111261,0.021353,0.089909,-0.016203,0.005302,-0.021506,0.065893,0.015151,0.050742,,,,,
000021,2026-05-26,-460609354.11,-0.04197328,1.0,0,2026-05-27,47.03,0.1001,42.75,0.0389,-0.093132,-0.00541,-0.087722,-0.209441,-0.00534,-0.204101,-0.201786,-0.028159,-0.173627,0.068892,0.00042,0.068472,,,,,
000021,2026-06-24,810202256.89,0.08839678,1.0,1,2026-06-25,52.8,0.0503,50.27,0.1,0.013447,-0.016715,0.030162,0.179167,0.001616,0.17755,-0.031629,-0.039475,0.007846,-0.238258,-0.047209,-0.191048,,,,,
000021,2026-06-29,276815239.44,0.02010234,1.0,1,2026-06-30,59.45,0.01,58.86,0.1,0.047267,0.009052,0.038215,-0.103448,-0.014751,-0.088697,-0.123297,-0.044584,-0.078712,-0.260723,-0.043151,-0.217572,,,,,
000021,2026-06-30,-740705571.11,-0.01738497,1.0,0,2026-07-01,63.53,-0.0115,64.27,0.0919,-0.118054,-0.032255,-0.085799,-0.148906,-0.036284,-0.112622,-0.173461,-0.035432,-0.13803,-0.377302,-0.081076,-0.296226,,,,,
000021,2026-07-02,-276023855.23,-0.02776707,1.0,0,2026-07-03,53.0,-0.0541,56.03,-0.1001,0.00566,0.006757,-0.001097,0.061132,0.013892,0.04724,-0.182264,-0.023093,-0.159171,-0.31283,-0.054014,-0.258816,,,,,
000021,2026-07-15,-395870676.13,-0.04359211,1.0,0,2026-07-16,45.44,-0.0385,47.26,-0.1,-0.141505,-0.038721,-0.102784,-0.114877,0.001212,-0.116089,-0.116417,-0.023617,-0.092801,-0.112016,-0.004376,-0.10764,,,,,
000026,2026-04-22,-26079398.51,-0.0540576,1.0,0,2026-04-23,17.01,-0.0224,17.4,-0.0735,0.082305,-0.009688,0.091993,0.063492,-0.001179,0.064671,0.184009,0.0282,0.15581,0.589653,0.021921,0.567733,,,,,
000026,2026-05-25,26085659.63,0.00967598,1.0,0,2026-05-26,25.25,-0.0662,27.04,0.0583,-0.105347,0.001644,-0.106991,-0.09703,-0.0114,-0.08563,-0.154455,-0.038056,-0.116399,-0.142574,0.003933,-0.146507,,,,,
000026,2026-05-26,-30333301.0,-0.04255806,1.0,0,2026-05-27,23.74,-0.0247,24.34,-0.0999,-0.028644,-0.00541,-0.023233,-0.056866,-0.00534,-0.051526,-0.077506,-0.028159,-0.049347,-0.080876,0.00042,-0.081296,,,,,
000027,2025-10-23,-71479123.39,-0.05548021,1.0,1,2025-10-24,7.68,0.0226,7.51,0.0996,-0.05599,0.020168,-0.076158,-0.048177,0.018847,-0.067024,-0.067708,0.015276,-0.082984,-0.11849,-0.012512,-0.105978,,,,,
000029,2025-10-09,-25299869.8,-0.07263542,0.0,0,2025-10-10,29.51,-0.0235,30.22,-0.1001,0.005422,-0.018275,0.023697,-0.014571,-0.013052,-0.00152,-0.002711,-0.015633,0.012922,-0.02406,0.002971,-0.027031,,,,,
000029,2025-10-21,-22405001.78,-0.07997958,0.0,0,2025-10-22,27.4,-0.0025,27.47,-0.0698,0.074088,0.006625,0.067462,0.073358,0.025337,0.04802,0.040511,0.009325,0.031186,-0.081752,-0.001712,-0.08004,,,,,
000029,2026-05-12,-61898215.53,-0.06368091,2.0,1,2026-05-13,27.02,0.02,26.49,0.1001,0.03664,-0.000981,0.037621,0.088823,-0.013526,0.102349,-0.07661,0.005778,-0.082388,-0.091784,-0.023908,-0.067876,,,,,
000029,2026-06-10,29614592.6,0.11474626,2.0,1,2026-06-11,26.86,-0.0048,26.99,0.0998,-0.05659,0.009989,-0.066579,0.063663,0.04256,0.021103,-0.104617,0.061317,-0.165933,-0.109456,0.030917,-0.140374,,,,,
000029,2026-06-24,-25580149.0,-0.17959495,1.0,0,2026-06-25,25.0,-0.044,26.15,-0.0998,-0.0664,-0.016715,-0.049685,-0.1,0.001616,-0.101616,-0.1156,-0.039475,-0.076125,-0.198,-0.047209,-0.150791,,,,,
000031,2026-01-30,15232788.44,0.00924496,1.0,0,2026-02-02,3.56,-0.0895,3.91,0.0483,0.036517,-0.003031,0.039548,0.047753,-0.006564,0.054316,0.002809,-0.002967,0.005776,-0.078652,-0.012584,-0.066068,,,,,
000032,2026-06-12,342897279.14,0.13529398,2.0,1,2026-06-15,19.2,0.0148,18.92,0.1,0.192188,0.011377,0.18081,0.280729,0.047702,0.233027,0.254167,0.020217,0.23395,0.060938,-0.027728,0.088665,,,,,
000035,2026-03-02,-27033833.0,-0.01868628,2.0,1,2026-03-03,7.64,-0.0091,7.71,0.0999,-0.009162,-0.028432,0.01927,0.013089,-0.025724,0.038813,0.005236,-0.013881,0.019116,-0.074607,-0.051794,-0.022813,,,,,
000035,2026-03-10,51440964.21,0.02663196,2.0,0,2026-03-11,8.01,-0.0148,8.13,0.0504,0.011236,0.001395,0.009841,-0.078652,-0.009313,-0.069339,-0.068664,-0.044074,-0.024591,-0.13608,-0.01826,-0.11782,,,,,
000036,2025-11-17,96550256.8,0.04427448,1.0,1,2025-11-18,5.44,0.0303,5.28,0.1,-0.15625,0.000764,-0.157014,-0.224265,-0.029825,-0.19444,-0.128676,-0.001811,-0.126865,-0.069853,-0.007139,-0.062714,,,,,
000036,2025-12-23,1404698.46,0.00070753,1.0,1,2025-12-24,6.74,0.0995,6.13,0.1005,0.053412,0.004077,0.049335,0.0,0.005969,-0.005969,-0.051929,0.024649,-0.076578,0.007418,0.021633,-0.014215,,,,,
000036,2025-12-26,65747913.6,0.01924186,2.0,1,2025-12-29,7.74,-0.009,7.81,0.1,-0.129199,-0.001499,-0.1277,-0.161499,0.028429,-0.189928,-0.100775,0.022061,-0.122836,-0.193798,0.010181,-0.20398,,,,,
000036,2025-12-29,-82104250.65,-0.07093538,2.0,0,2025-12-30,6.75,-0.0398,7.03,-0.0999,-0.022222,0.002734,-0.024956,-0.06963,0.034511,-0.104141,0.025185,0.026989,-0.001803,-0.103704,0.021804,-0.125507,,,,,
000036,2026-01-23,91215274.3,0.04193358,2.0,0,2026-01-26,7.09,0.0143,6.99,0.0295,-0.119887,-0.002053,-0.117834,-0.16079,-0.001916,-0.158874,-0.211566,-0.015222,-0.196343,-0.242595,0.002819,-0.245414,,,,,
000036,2026-07-15,32642081.47,0.04213111,1.0,0,2026-07-16,4.73,-0.0187,4.82,0.041,-0.122622,-0.038721,-0.0839,-0.133192,0.001212,-0.134405,-0.15222,-0.023617,-0.128603,-0.080338,-0.004376,-0.075963,,,,,
000037,2026-03-27,-119949495.75,-0.09076049,1.0,0,2026-03-30,12.0,-0.0323,12.4,0.0342,0.085,-0.00262,0.08762,-0.1875,-0.004695,-0.182805,-0.186667,0.041333,-0.228,-0.081667,0.069303,-0.150969,,,,,
000037,2026-04-01,-125695508.54,-0.13156209,1.0,0,2026-04-02,11.46,-0.0329,11.85,-0.0899,-0.149215,-0.016315,-0.1329,-0.170157,0.01147,-0.181627,-0.122164,0.049212,-0.171376,-0.057592,0.064873,-0.122465,,,,,
000037,2026-04-03,-140159656.24,-0.06602521,1.0,0,2026-04-07,9.49,-0.0267,9.75,-0.0997,0.04215,0.033671,0.008479,0.028451,0.045052,-0.016601,0.150685,0.070083,0.080602,0.190727,0.102263,0.088464,,,,,
000037,2026-06-01,-38466907.05,-0.03033556,2.0,1,2026-06-02,12.65,0.0,12.65,0.1,-0.06087,0.016088,-0.076957,-0.181818,-0.030238,-0.15158,-0.105929,0.006399,-0.112327,-0.3083,0.024446,-0.332746,,,,,
000037,2026-06-18,-8039467.99,-0.01569953,0.0,0,2026-06-22,10.1,-0.026,10.37,-0.0998,-0.016832,-0.006053,-0.010778,-0.121782,-0.016391,-0.105391,-0.107921,-0.021654,-0.086267,-0.089109,-0.08491,-0.004199,,,,,
000037,2026-07-20,6018218.73,0.00806067,2.0,1,2026-07-21,9.8,-0.0316,10.12,0.1,0.052041,0.018656,0.033385,-0.064286,0.015456,-0.079742,0.028571,-0.018933,0.047504,-0.007143,0.023807,-0.03095,,,,,
000039,2025-11-26,228158609.99,0.12930547,1.0,1,2025-11-27,9.27,-0.0086,9.35,0.1,-0.020496,0.001471,-0.021967,-0.032362,0.002441,-0.034804,0.006472,0.015888,-0.009415,0.046386,0.025231,0.021155,,,,,
000039,2026-02-04,72582741.32,0.03896178,2.0,1,2026-02-05,11.6,0.0167,11.41,0.1003,-0.053448,-0.004534,-0.048914,-0.030172,0.01052,-0.040692,0.165517,0.013318,0.152199,0.124138,0.00489,0.119248,,,,,
000039,2026-05-21,-122120230.3,-0.07286036,0.0,0,2026-05-22,10.32,0.0128,10.19,-0.0998,-0.01938,0.021323,-0.040703,0.080426,0.019791,0.060636,-0.022287,0.017826,-0.040113,-0.139535,0.025474,-0.165009,,,,,
000045,2025-10-13,42471944.0,0.04947321,1.0,1,2025-10-14,16.06,0.0815,14.85,0.1,-0.089041,-0.005992,-0.083049,-0.173724,-0.02068,-0.153043,-0.13325,0.017688,-0.150938,-0.198007,0.013163,-0.21117,,,,,
000045,2025-10-15,10422491.4,0.01035995,1.0,0,2025-10-16,14.4,-0.0157,14.63,-0.0997,-0.033333,-0.016275,-0.017058,-0.033333,0.000795,-0.034129,-0.031944,0.034631,-0.066575,-0.104861,0.012418,-0.117279,,,,,
000048,2026-01-21,103441457.64,0.12781248,2.0,1,2026-01-22,18.18,-0.0173,18.5,0.0999,0.044004,-0.008279,0.052284,0.040154,-0.005012,0.045166,-0.008801,-0.009084,0.000283,-0.033553,-0.003138,-0.030415,,,,,
000048,2026-04-01,-16016290.42,-0.04805219,1.0,0,2026-04-02,20.0,-0.0606,21.29,-0.1002,-0.138,-0.016315,-0.121685,-0.2165,0.01147,-0.22797,-0.2305,0.049212,-0.279712,-0.263,0.064873,-0.327873,,,,,
000048,2026-04-02,-19778880.4,-0.07492895,1.0,0,2026-04-03,17.88,-0.0668,19.16,-0.1,-0.096197,-0.011625,-0.084572,-0.141499,0.031989,-0.173488,-0.168904,0.052489,-0.221393,-0.17953,0.085524,-0.265054,,,,,
000048,2026-04-03,-15169711.61,-0.01181283,1.0,0,2026-04-07,16.54,-0.0406,17.24,-0.1002,0.004232,0.033671,-0.029438,-0.068924,0.045052,-0.113976,-0.091898,0.070083,-0.161982,-0.096735,0.102263,-0.198999,,,,,
000048,2026-06-10,72061990.79,0.07319099,2.0,1,2026-06-11,18.95,0.0628,17.83,0.0999,-0.002111,0.009989,-0.0121,0.009499,0.04256,-0.033062,0.177309,0.061317,0.115992,0.156201,0.030917,0.125283,,,,,
000048,2026-06-15,-79000105.39,-0.08826216,3.0,0,2026-06-16,16.9,-0.0271,17.37,-0.0814,0.131953,0.007458,0.124494,0.222485,0.005007,0.217479,0.307101,0.017274,0.289827,0.307692,-0.020098,0.32779,,,,,
000048,2026-06-16,29913895.72,0.05897229,3.0,1,2026-06-17,19.11,0.0,19.11,0.1002,-0.013082,0.016852,-0.029935,0.061224,0.017145,0.04408,0.177394,0.020428,0.156966,0.104657,-0.015005,0.119662,,,,,
000048,2026-06-30,58883659.68,0.08612849,1.0,0,2026-07-01,22.09,0.0,22.09,0.0415,0.012223,-0.032255,0.044478,-0.025804,-0.036284,0.010481,0.000453,-0.035432,0.035884,-0.179267,-0.081076,-0.09819,,,,,
000048,2026-07-13,-59941113.7,-0.05352846,1.0,0,2026-07-14,22.93,-0.0013,22.96,-0.0473,-0.079372,0.020392,-0.099764,-0.19843,-0.019782,-0.178648,-0.186655,0.00241,-0.189065,-0.046228,0.002324,-0.048552,,,,,
000055,2026-06-02,27231538.47,0.09009993,2.0,1,2026-06-03,4.43,0.0573,4.19,0.0997,-0.160271,-0.003373,-0.156898,-0.164786,-0.024289,-0.140497,-0.155756,-0.007541,-0.148215,-0.232506,0.007647,-0.240152,,,,,
